Date,Open,High,Low,Close,Volume,Day of Week,Day of Month,Month,NIFTY50,Range
2016-05-04,329.6468811035156,330.8377990722656,311.92596435546875,313.212158203125,8352315.0,2,4,5,7735.5,18.911834716796875
2016-05-05,313.4503479003906,318.9762268066406,308.82958984375,316.1180114746094,8749478.0,3,5,5,7733.4501953125,10.146636962890625
2016-05-06,314.403076171875,315.8321838378906,309.73468017578125,313.7361755371094,5628854.0,4,6,5,7866.0498046875,6.097503662109375
2016-05-09,314.403076171875,319.119140625,311.7354431152344,313.1645202636719,4889488.0,0,9,5,7887.7998046875,7.383697509765625
2016-05-10,315.26055908203125,321.3104248046875,309.7823181152344,312.5452575683594,11283379.0,1,10,5,7848.85009765625,11.528106689453125
2016-05-11,304.78045654296875,316.3085632324219,304.0658874511719,314.2125549316406,5969860.0,2,11,5,7900.39990234375,12.24267578125
2016-05-12,315.5940246582031,316.4991149902344,311.1637878417969,314.9747314453125,4940120.0,3,12,5,7814.89990234375,5.3353271484375
2016-05-13,311.5448913574219,313.7838134765625,306.0190124511719,307.4004821777344,5880488.0,4,13,5,7860.75,7.764801025390625
2016-05-16,307.7815856933594,311.7830505371094,304.3040771484375,310.9732360839844,4125806.0,0,16,5,7890.75,7.478973388671875
2016-05-17,313.2597961425781,315.4987487792969,309.0677795410156,311.68780517578125,5121836.0,1,17,5,7870.14990234375,6.43096923828125
2016-05-18,310.30633544921875,314.5936279296875,307.8768310546875,313.49798583984375,3946031.0,2,18,5,7783.39990234375,6.716796875
2016-05-19,311.0685119628906,321.4533386230469,309.639404296875,310.830322265625,6833711.0,3,19,5,7749.7001953125,11.813934326171875
2016-05-20,310.7826843261719,311.6401672363281,305.9237365722656,307.4004821777344,4839839.0,4,20,5,7731.0498046875,5.7164306640625
2016-05-23,309.35357666015625,310.3539733886719,297.7301940917969,298.7305603027344,6714552.0,0,23,5,7748.85009765625,12.623779296875
2016-05-24,298.63531494140625,303.39898681640625,296.5392761230469,302.6844177246094,5272059.0,1,24,5,7934.89990234375,6.859710693359375
2016-05-25,304.875732421875,311.0685119628906,303.1131591796875,309.25830078125,5797914.0,2,25,5,8069.64990234375,7.955352783203125
2016-05-26,304.875732421875,313.7838134765625,304.875732421875,309.8299560546875,13531993.0,3,26,5,8156.64990234375,8.9080810546875
2016-05-27,310.5921325683594,316.3085632324219,309.2106628417969,314.0220031738281,4622976.0,4,27,5,8178.5,7.097900390625
2016-05-30,316.356201171875,318.7856750488281,306.2572021484375,307.1146545410156,6946409.0,0,30,5,8160.10009765625,12.528472900390625
2016-05-31,309.16302490234375,321.5486145019531,305.1139221191406,318.5474853515625,10540175.0,1,31,5,8179.9501953125,16.4346923828125
2016-06-01,320.02423095703125,323.54937744140625,313.8314514160156,316.45147705078125,6804641.0,2,1,6,8218.9501953125,9.717926025390625
2016-06-02,316.3085632324219,325.74066162109375,314.7365417480469,324.54974365234375,5849447.0,3,2,6,8220.7998046875,11.004119873046875
